omega,alpha,beta
0.20338775394475142,0.13990416782661716,0.6202611248065736
0.23428472559535682,0.14952762488031143,0.6335113562824545
0.21782891189282882,0.15114031462264352,0.6153469054356716
0.23006279185103978,0.16791230448884917,0.6075218133968548
0.23883680207395686,0.17999636209771394,0.59208532075389
0.2600400757655912,0.18061460402210056,0.5775073354017627
0.2519504310177483,0.20032630529026932,0.561232602505052
0.2457012932578358,0.2069396222727225,0.5606900758493194
0.2612058597795817,0.18807118920645546,0.5556678054290841
0.2546106734845657,0.20293800608516052,0.5571600929123315
0.26021671414281405,0.21127018354995936,0.5335811538767515
0.27330970459250925,0.21302858422739102,0.5181067128710799
0.27691697850809227,0.20187496810710687,0.5240594674098739
0.2834793209203188,0.18910709154841965,0.522991601463608
0.2884084984103849,0.19932603331772727,0.5253371412182295
0.3002650381820591,0.2039624420471292,0.5117477595715544
0.2960855121132278,0.20035140192910678,0.5050146352197437
0.30450069126499857,0.1998133262197856,0.5145013166705813
0.30274579525567274,0.19781310428728385,0.489961607729209
0.32185244365405097,0.2052923682006412,0.4653969929335127
0.32664820319898624,0.20247415679098935,0.48124963032229656
0.30509944808418227,0.20444708884719337,0.48128276139591314
0.32544668868081367,0.20989491329329524,0.47850237986360594
0.30559897214339043,0.21672473622176053,0.49995397319292634
0.3066730169328139,0.20930981887710143,0.5017380887583427
0.31849997136901653,0.2060609326501603,0.5004672045516988
0.3074716322787541,0.19146769551782425,0.5014719073873214
0.3119212314246814,0.18930652419437316,0.5067415408594089
0.2952059604999587,0.18343460864363204,0.5128930693718512
0.2818884481441777,0.19791552977264432,0.528700882520673
0.2918695832445591,0.20301940226317647,0.5307175957200336
0.29904779647531904,0.1752704040751212,0.5419904322521766
0.30255067331599994,0.18410672390490837,0.5199991867931649
0.289952447053067,0.1979135992980602,0.5302525118852446
0.28267979948331273,0.20853063279671016,0.5305498248176476
0.26426122065297253,0.20949808878830695,0.5214021956050225
0.26454359757900864,0.2054649685097104,0.5371355766706628
0.26830654825137146,0.20785936583173906,0.5262763243596149
0.2671171176462169,0.2128787260730065,0.5287507932136618
0.2628352730014819,0.2257610736303608,0.5400187672971685
0.2591222777089513,0.21499633582889174,0.5133434297392793
0.2697877033434975,0.1994499749961193,0.5185699591324794
0.2722834928083983,0.1853891194482848,0.5194293533631409
0.30720267171703997,0.1826426934940152,0.5173912963969796
0.2855374026445489,0.18188693652874655,0.5274914278819511
0.2832554543488816,0.16825975157976197,0.5407119420070425
0.27486609891689756,0.17359871535726934,0.5725954461667164
0.27544643928388823,0.16677727437938428,0.5644680882591901
0.2634359773246993,0.17995488317161995,0.572082455539543
0.269697033035954,0.21284500982645183,0.5438802025936497
0.2609627976819182,0.1894910643014207,0.5299535218037724
0.2740865455257823,0.1931458166462266,0.5337597415127437
0.2584288114396692,0.18633836332763318,0.544198807932366
0.25377511404495406,0.20422917575653415,0.5517526494653605
0.2585883144984733,0.20968935640763534,0.5262558258034296
0.251861529554776,0.21212698259506424,0.532271540253456
0.26953182497839173,0.20271410107478594,0.5227795829266304
0.2673336517716334,0.19157977244701233,0.5242492976431157
0.27092782201377164,0.20214502958078323,0.5217271660682775
0.27331707534548744,0.18395421963468994,0.5433058846927818
0.28015516689327674,0.17493629757492207,0.5528410024170484
0.2683864479148867,0.1751282191392307,0.5531686541434707
0.27453790086293084,0.16636533490764513,0.5575405746233699
0.27546257568613663,0.17656786382873257,0.5434049229824228
0.284519325291591,0.17562695122979666,0.5381641421076114
0.28382872562468126,0.18912160519167406,0.5196573346023727
0.3001040654452715,0.19732422911492953,0.5069326779578389
0.3154754866325698,0.2207856226862739,0.48894152418921744
0.3052514224472754,0.21184491476341497,0.48177392181288425
0.2903032625280406,0.21777581973853297,0.48361355869930206
0.29393220442550866,0.21484150458967385,0.49396122570308426
0.3028491281100692,0.19781511548825134,0.5136590142001682
0.30174999773831684,0.19841480582910817,0.5198717820401301
0.28618464162122653,0.19912771399645895,0.5310694673265165
0.28053307701132113,0.18985107258689973,0.5314712824074812
0.26212464856271595,0.20265948517315863,0.5362679062303995
0.27694068918993375,0.18325052014286883,0.5459529960533072
0.26634084274826386,0.17557170696186372,0.5579600231821789
0.2750750592801941,0.18634276938366182,0.5277693182041725
0.26734852391272007,0.1924126466900545,0.5336007748144282
0.26964177520918425,0.1828296840920882,0.541818402099453
0.27081587438651195,0.1962201166368169,0.5327589517211895
0.2649470894747993,0.2205040421129589,0.5360381853209871
0.2590615789909323,0.21773018332524324,0.5361050702912807
0.2581334411168035,0.2286413378914476,0.5326115133301349
0.24587570755205107,0.22227144091158643,0.5328963114754364
0.23882918950294565,0.23033875294073514,0.5440113743508436
0.28075659639168943,0.21868869161665497,0.5351863311668945
0.2760197539326565,0.20277677208478895,0.5300537853350346
0.2618659193855811,0.19190398932227495,0.5372427051008692
0.26803860682970965,0.2079172340997189,0.519109088208093
0.27394741079701257,0.19698134447419918,0.5226206454788362
0.2567369157402374,0.21167456155549136,0.5472931214067905
0.2623184413602911,0.22331321040709487,0.5303956359767932
0.2792101121640291,0.20159636079742144,0.5228350950554159
0.27127648403878446,0.20428218615008203,0.5157095388896128
0.28563231689603613,0.2027988168994243,0.5274102903082717
0.28810103984069435,0.20586842055805282,0.5131194838675949
0.2785044203985174,0.2247106310839495,0.4975224875270868
0.2923379451463512,0.22868226929692975,0.49511554785807843
0.3161840268341141,0.21978347597545397,0.4925847763598617
0.31898282179592224,0.21115165723763082,0.4952906218274056
0.32329560662200313,0.19660942206216342,0.4781924525864263
0.32619521174456734,0.1974310569918661,0.47818029029757486
0.31992611523791903,0.18938297828317416,0.498489963477741
0.3071795371291337,0.19895642103885572,0.4945671167696537
0.31230990934491754,0.21787394028025273,0.5018931946907458
0.29559991126095214,0.20262536042610224,0.5035337882654954
0.308265959983906,0.19884447005187644,0.4986963330647869
0.31525262861386927,0.19224407559065876,0.48543291244515235
0.32072213035682245,0.20589619381626648,0.4949890622383119
0.30605980423390977,0.22113253840178534,0.4934168294059499
0.3164066317657614,0.20948221195771816,0.49326632300298123
0.29616545032151187,0.2100568767269642,0.4830562984920296
0.2998732571099002,0.1945371525071019,0.5095497871919414
0.299897498308029,0.2114689336835783,0.4954361402791022
0.2846204656847953,0.23140424338928112,0.4976757822254293
0.29201779665026234,0.24743201111612365,0.4916022985871732
0.29546475508495246,0.2191023716677711,0.5026618176101837
0.2940115516027562,0.23190144182874084,0.5070574705847833
0.30861757459999184,0.2417456971711822,0.48789241107412945
0.3118543809769132,0.2572549785676071,0.4686573296261087
0.31021256058058366,0.2494016836133054,0.47964701817070027
0.294608343203115,0.24982920765822328,0.458287699802021
0.27830610707472964,0.25743722792946605,0.4879576059718287
0.28275341002464693,0.2665358332352553,0.4957044840963097
0.26767601371359967,0.2744958603079456,0.48821789383579356
0.2716502476367449,0.2667614827871957,0.48333977895989627
0.26518209938209963,0.25799373089098626,0.49644190117415754
0.25241392028894855,0.26017162735225613,0.5105201717342392
0.2634696282294561,0.2616273701895101,0.5064923273714929
0.2677172113299438,0.25958900010102337,0.4913223708472147
0.2815978964599259,0.258790508063295,0.49486957490758593
0.29004066196672273,0.2457877192503278,0.49460060636075615
0.29063142100262657,0.21729963939004426,0.49728266098486884
0.2879860489080707,0.19719626784738775,0.5142182988391193
0.2780393135089518,0.21103356696904077,0.5168578416576454
0.29771624909513367,0.21918677362221234,0.5071289364771399
0.3123611209989411,0.21288885013988984,0.4915292309791
0.29569170672574135,0.205471969505812,0.48951206217899723
0.27573670296522695,0.2230234812558297,0.49663042202072805
0.27803884499431375,0.22543238221408277,0.48790236475695675
0.2920424875106662,0.21716508776974627,0.48734971864750737
0.28066874250044194,0.23161887404651518,0.49803515143661053
0.2749480265751146,0.23163392563938573,0.5066229545358059
0.2858975531182629,0.24082787096610686,0.4969244328261208
0.27999071747013354,0.24684125020094735,0.5018920264124703
0.2622576775562302,0.22691964483213767,0.5180075469569294
0.27560825729601957,0.21350515956267507,0.5294597152031579
0.2835357922462897,0.208595759137221,0.525944458328791
0.2852510487437575,0.21507559656047504,0.5008975832570386
0.29773887617404565,0.22297224495337012,0.5100300007072444
0.29321380915896833,0.21011370992385342,0.5143210565242818
0.29504413116126427,0.21006619405548801,0.5013454080314395
0.31547613280357595,0.20042085271082982,0.49867114101670396
0.3032910436067157,0.19845652191008115,0.518123741897788
0.28969337461738737,0.19994350228989852,0.5325379067335538
0.28258713983164585,0.18569146682095466,0.5285346792301964
0.27702483869368966,0.17699582668078878,0.5504879326946721
0.28463781988211945,0.17277672421408802,0.536612364407713
0.2800643614775762,0.18659940651668452,0.546849142304554
0.27759285277391615,0.1949436119853804,0.5226928272124212
0.27924588029897596,0.18556229895756854,0.5316384702549204
0.25916242709795956,0.20229112751733558,0.5376801738951048
0.27671380115713434,0.19355885836504877,0.5408960604641295
0.2698632343145086,0.19238083390018923,0.5490035852356474
0.2709338022229197,0.21196549800932213,0.5360792771926954
0.25028938994242106,0.22395866093653605,0.5333680196487633
0.2502419394745063,0.20187845990984898,0.5497138391336807
0.2464516881151644,0.19263783586378497,0.5634579227095038
0.24698891253194175,0.1979212361454632,0.559890822129913
0.24850236822043434,0.1939947826188819,0.5464447360524995
0.24548477744933658,0.20647153738576327,0.5434343620860143
0.2566578756412525,0.2146817221097055,0.5487699308561922
0.25591441190075964,0.20580741300530725,0.5519633145957282
0.2554945539281657,0.19908747944414873,0.5447394796260004
0.2853070411943782,0.173682466361251,0.5483102959069891
0.2698353809862707,0.1810898167176362,0.5566786605751918
0.2754273607543276,0.17063506063013884,0.551788962763874
0.26661927897849247,0.17511453072103447,0.5558613270719057
0.27365106996093436,0.19057108284303131,0.5476574980252089
0.28580491569644306,0.2014361216562953,0.527052192465667
0.2840032848438833,0.2090917083146009,0.5075207662122816
0.29120657253620263,0.19415858503061856,0.5247796877571038
0.28114504589542366,0.1979320370185974,0.5232682277854868
0.2849892181580513,0.20372520089107074,0.511621816167604
0.2885912532612309,0.21147132230631352,0.5024015279461183
0.28309083528684403,0.23433476618021323,0.506038481142694
0.29066022043944884,0.22499729708745686,0.5077167699924823
0.2843740217944014,0.2266913427284668,0.5050004922086226
0.2854057997323102,0.23034809814164434,0.5116346298816381
0.2871873707364868,0.2111617804042776,0.5066058749214598
0.2799741063397461,0.2109883310151483,0.5142845195888078
0.26643020898259984,0.21758276481420089,0.5264489123778755
0.2720156602955533,0.20634226386259072,0.5341697504110183
